competency_id,qp_code,nos_code,nos_title,competency_text,knowledge_text,performance_text,source_id,source_url,evidence_type,observed_or_derived,confidence,notes
COMP_013,PWD/BWS/Q0102,BWS/N0105,Perform hair removal services,Provide hair removal treatments,Knowledge of hair removal techniques,Perform treatments safely,SRC_009,https://nsdcindia.org/sites/default/files/PWD_BWSQ0102_Beauty_Therapist_v2_15_02_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_014,PWD/BWS/Q0102,BWS/N0106,Perform makeup services,Apply makeup as per client requirements,Knowledge of makeup products and techniques,Deliver makeup services,SRC_009,https://nsdcindia.org/sites/default/files/PWD_BWSQ0102_Beauty_Therapist_v2_15_02_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_015,PWD/BWS/Q0102,BWS/N0401,Provide manicure and pedicure services,Provide nail care services,Knowledge of nail care products,Deliver manicure and pedicure,SRC_009,https://nsdcindia.org/sites/default/files/PWD_BWSQ0102_Beauty_Therapist_v2_15_02_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_016,BWS/Q0202,BWS/N0201,Shampoo and condition hair,Shampoo and condition client hair,Knowledge of hair types and products,Perform shampoo and conditioning,SRC_010,https://nsdcindia.org/sites/default/files/BWSQ0202_Hair_Stylist_v2_07_02_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_017,BWS/Q0202,BWS/N0202,Blow dry hair,Blow dry and style hair,Knowledge of drying techniques,Perform blow drying,SRC_010,https://nsdcindia.org/sites/default/files/BWSQ0202_Hair_Stylist_v2_07_02_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_018,BWS/Q0202,BWS/N0203,Provide haircuts,Cut hair as per client requirements,Knowledge of cutting techniques,Perform haircuts,SRC_010,https://nsdcindia.org/sites/default/files/BWSQ0202_Hair_Stylist_v2_07_02_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_019,BWS/Q0202,BWS/N0204,Colour and treat hair,Apply colour and treatments,Knowledge of colour products,Treat and colour hair,SRC_010,https://nsdcindia.org/sites/default/files/BWSQ0202_Hair_Stylist_v2_07_02_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_020,PWD/AGR/Q4101,AGR/N4101,Prepare and maintain livestock accommodation,Prepare and maintain animal housing,Knowledge of livestock housing requirements,Maintain clean and safe accommodation,SRC_011,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_021,PWD/AGR/Q4101,AGR/N4102,Establish livestock within accommodation,Introduce livestock to accommodation,Knowledge of animal behaviour,Handle livestock safely,SRC_011,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_022,PWD/AGR/Q4101,AGR/N4103,Provide feed and water for livestock,Feed and water livestock,Knowledge of nutritional requirements,Provide feed and water as per schedule,SRC_011,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_023,PWD/AGR/Q4101,AGR/N4104,Maintain health and performance of livestock,Monitor and maintain animal health,Knowledge of common diseases,Identify and address health issues,SRC_011,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_024,PWD/AGR/Q4101,AGR/N4105,Perform hand and machine milking,Perform milking operations,Knowledge of milking techniques,Complete milking hygienically,SRC_011,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_025,CON/Q0203,CON/N0201,Read and understand drawings/Bar Bending Schedule,Interpret structural drawings and BBS,Knowledge of reinforcement detailing,Read and apply BBS,SRC_012,https://www.csdcindia.org/sites/default/files/CONQ0203_Bar_Bender_and_Steel_Fixer.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_026,CON/Q0203,CON/N0202,Use hand and power tools for cutting/bending,Use tools for rebar cutting and bending,Knowledge of tool usage,Cut and bend rebar as per requirements,SRC_012,https://www.csdcindia.org/sites/default/files/CONQ0203_Bar_Bender_and_Steel_Fixer.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_027,CON/Q0203,CON/N0203,Fabricate/place/fix reinforcement bars,Fabricate and fix rebar for RCC structures,Knowledge of RCC construction,Fix reinforcement as per drawings,SRC_012,https://www.csdcindia.org/sites/default/files/CONQ0203_Bar_Bender_and_Steel_Fixer.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_028,LSC/Q2117,LSC/N2115,Prepare for claims processing,Receive and document claims,Knowledge of claims procedures,Prepare claims for processing,SRC_014,https://lsc-india.com/sites/default/files/LSCQ2117_Warehouse_Claims_Coordinator.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_029,LSC/Q2117,LSC/N2116,Inspect goods and validate claims,Inspect goods and validate claim authenticity,Knowledge of inspection procedures,Validate claims and estimate reimbursement,SRC_014,https://lsc-india.com/sites/default/files/LSCQ2117_Warehouse_Claims_Coordinator.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_030,SSC/Q2212,SSC/N3022,Undertake data entry services,Enter data as per requirements,Knowledge of data entry software,Complete data entry with accuracy,SRC_015,https://www.nsdcindia.org/sites/default/files/SSCQ2212_Domestic_Data_Entry_Operator.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_031,SSC/Q2212,SSC/N9001,Manage work to meet requirements,Plan and manage work tasks,Knowledge of time management,Complete work as per schedule,SRC_015,https://www.nsdcindia.org/sites/default/files/SSCQ2212_Domestic_Data_Entry_Operator.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_032,SSC/Q2212,SSC/N9003,Maintain healthy/safe/secure working environment,Maintain safe working environment,Knowledge of safety procedures,Follow safety protocols,SRC_015,https://www.nsdcindia.org/sites/default/files/SSCQ2212_Domestic_Data_Entry_Operator.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_033,ELE/Q3106,ELE/N3110,Install the washing machine,Install washing machine at customer site,Knowledge of installation procedures,Install and test washing machine,SRC_016,https://www.nsdcindia.org/sites/default/files/QP_ELE-Q3106_Field_Technician_Washing_Machine.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_034,ELE/Q3106,ELE/N3111,Diagnose fault in washing machine,Diagnose faults in washing machine,Knowledge of diagnostic techniques,Identify fault correctly,SRC_016,https://www.nsdcindia.org/sites/default/files/QP_ELE-Q3106_Field_Technician_Washing_Machine.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_035,ELE/Q3106,ELE/N3112,Repair washing machine,Repair identified faults,Knowledge of repair procedures,Repair and test washing machine,SRC_016,https://www.nsdcindia.org/sites/default/files/QP_ELE-Q3106_Field_Technician_Washing_Machine.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_036,MES/Q0601,MES/N0601,Interpret graphic visualisation brief,Understand and interpret design brief,Knowledge of design principles,Interpret brief correctly,SRC_017,https://www.nqr.gov.in/sites/default/files/MESQ0601_Graphic_Designer.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_037,MES/Q0601,MES/N0602,Manage graphic tools,Use graphic design software,Knowledge of design software,Use tools effectively,SRC_017,https://www.nqr.gov.in/sites/default/files/MESQ0601_Graphic_Designer.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_038,MES/Q0601,MES/N0603,Visualise and generate design,Create design concepts,Knowledge of design theory,Generate design concepts,SRC_017,https://www.nqr.gov.in/sites/default/files/MESQ0601_Graphic_Designer.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_039,MES/Q0601,MES/N0604,Create and edit graphic design,Create and edit designs,Knowledge of editing techniques,Produce final designs,SRC_017,https://www.nqr.gov.in/sites/default/files/MESQ0601_Graphic_Designer.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_040,THC/Q0301,THC/N0301,Provide food and beverage service,Serve food and beverages to guests,Knowledge of service procedures,Provide efficient service,SRC_018,https://www.nsdcindia.org/sites/default/files/THCQ0301_Guest_Service_Associate_FB.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_041,BWS/Q0101,BWS/N0102,Provide basic skin care services,Provide basic facial and skin care,Knowledge of skin care products,Deliver basic skin care,SRC_030,https://nqr.gov.in/sites/default/files/BWSQ0101_Assistant_Beauty_Therapist.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_042,BWS/Q0101,BWS/N0125,Perform simple makeup services,Apply simple makeup,Knowledge of makeup products,Deliver makeup services,SRC_030,https://nqr.gov.in/sites/default/files/BWSQ0101_Assistant_Beauty_Therapist.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_043,BWS/Q0101,BWS/N0126,Provide simple hair dressing services,Provide basic hair styling,Knowledge of hair dressing techniques,Deliver hair dressing,SRC_030,https://nqr.gov.in/sites/default/files/BWSQ0101_Assistant_Beauty_Therapist.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_044,BWS/Q0201,BWS/N0201,Shampoo and condition hair and scalp,Shampoo and condition hair,Knowledge of hair products,Perform shampoo and conditioning,SRC_031,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_045,BWS/Q0201,BWS/N0202,Blow dry hair,Blow dry hair,Knowledge of drying techniques,Perform blow drying,SRC_031,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_046,BWS/Q0201,BWS/N0203,Provide basic haircuts,Provide basic haircuts,Knowledge of cutting techniques,Perform basic haircuts,SRC_031,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_047,ELE/Q3102,ELE/N3102,Install and maintain AC,Install and maintain air conditioners,Knowledge of AC systems,Install and maintain AC,SRC_032,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_048,MEP/Q7201,MEP/N7201,Supervise security operations,Supervise security personnel and operations,Knowledge of security procedures,Supervise guarding operations,SRC_028,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_049,LSC/Q2307,LSC/N2307,Supervise warehouse operations,Supervise warehouse activities,Knowledge of warehouse operations,Supervise picking/packing/storage,SRC_026,https://nqr.gov.in/sites/default/files/LSCQ2307_Warehouse_Supervisor.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_050,SSC/Q0503,SSC/N0503,Develop web applications,Develop web-based applications,Knowledge of programming languages,Develop and test web applications,SRC_027,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_051,AMH/Q0401,AMH/N0401,Carry out pressing operations,Press garments to remove wrinkles,Knowledge of pressing techniques,Press garments as per quality standards,SRC_029,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_052,CON/Q0304,CON/N0304,Carry out shuttering carpentry,Fabricate and install shuttering,Knowledge of shuttering techniques,Install shuttering for concrete,SRC_025,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_053,CON/Q0113,CON/N0111,Carry out brick masonry work,Lay bricks to construct walls,Knowledge of masonry techniques,Construct brick walls,SRC_013,https://www.csdcindia.org/sites/default/files/CONQ0113_Brick_Mason.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_054,CON/Q0113,CON/N0112,Carry out plastering work,Apply plaster to walls,Knowledge of plastering techniques,Apply plaster as per specifications,SRC_013,https://www.csdcindia.org/sites/default/files/CONQ0113_Brick_Mason.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_055,HYC/Q0105,HYC/N0105,Repair and maintenance of diesel engine,Repair diesel engines,Knowledge of diesel engine systems,Repair and maintain diesel engines,SRC_030,https://www.hsscindia.in,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_056,DGT/MMV,DGT/N0101,Repair and maintain motor vehicle,Repair and maintain motor vehicles,Knowledge of vehicle systems,Repair and maintain vehicles,SRC_030,https://www.dget.gov.in,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_057,ASC/Q6102,ASC/N6102,Carry out packing operations,Pack goods for storage/transport,Knowledge of packing materials,Pack goods as per requirements,SRC_029,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_058,BWS/Q0402,BWS/N0401,Provide manicure and pedicure services,Provide nail care services,Knowledge of nail care,Deliver manicure and pedicure,SRC_022,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_059,AGR/Q0801,AGR/N0801,Maintain garden/plants,Maintain garden and plants,Knowledge of gardening techniques,Maintain plants and garden,SRC_019,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_060,AMH/Q1001,AMH/N1001,Carry out hand embroidery,Perform hand embroidery,Knowledge of embroidery techniques,Complete embroidery as per design,SRC_020,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_061,AMH/Q0102,AMH/N0102,Carry out inline checking,Perform inline quality checks,Knowledge of quality standards,Check products for defects,SRC_021,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_062,AMH/Q1947,AMH/N1947,Carry out tailoring operations,Perform tailoring operations,Knowledge of tailoring techniques,Stitch garments as per measurements,SRC_023,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_063,AMH/Q0301,AMH/N0301,Operate sewing machine,Operate sewing machine,Knowledge of sewing machine operation,Stitch garments using sewing machine,SRC_024,https://www.nsdcindia.org/nos-listing/4.html,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
